B1,B2,B3,Actual
48,44,56,78
65,65,63,78
65,62,78,84
46,55,66,59
33,55,60,79
56,60,70,84
53,72,74,89
62,72,83,87
68,76,85,92
56,73,72,81
65,70,77,86
64,76,68,82
73,70,82,85
75,79,83,93
57,51,65,83
71,77,79,89
69,61,64,82
49,61,62,82
74,77,85,94
68,64,80,82
54,61,68,83
60,56,73,84
55,61,67,82
36,57,62,86
51,59,78,77
64,70,60,79
71,62,79,91
44,60,57,82
59,77,76,85
69,81,82,94
78,72,76,81
77,77,80,92
71,75,76,92
41,54,65,74
73,78,81,91
52,53,61,81
63,68,85,85
82,85,88,95
31,64,72,79
71,76,81,92
57,74,64,85
76,76,82,91
54,61,62,73
62,66,73,88
55,67,63,80
79,82,84,90
36,53,61,83
71,80,80,92
69,75,79,86
78,90,92,92
55,69,67,71
60,55,65,79
39,41,61,59
81,81,84,96
63,64,64,85
61,74,76,91
56,69,77,91
67,63,70,87
37,63,63,84
52,53,61,81
49,63,70,88
57,51,65,83
37,67,69,75
39,60,60,77
44,49,59,79
70,65,71,83
62,73,68,73
66,63,73,78
44,54,71,75
52,70,75,88
55,61,73,86
73,77,73,88
73,82,85,93
57,66,77,90
50,60,59,76
53,72,80,75
67,70,69,83
70,63,77,80
56,60,62,79
52,68,65,81
44,64,72,78
51,61,67,78
60,58,61,80
64,66,76,84
28,51,67,78
68,68,69,84
61,67,73,88
71,73,77,87
59,61,73,83
60,75,75,88
74,74,84,92
58,60,71,82
67,77,84,86
50,68,68,81
62,77,79,95
70,74,84,91
52,76,74,85
63,76,85,93
66,73,73,87
71,84,89,85
49,59,57,78
63,69,73,92
65,70,78,84
68,70,71,87
74,74,71,90
59,62,76,86
42,36,59,73
64,65,72,78
53,58,68,72
50,60,57,77
69,77,76,88
68,79,83,87
56,79,77,88
79,77,83,91
51,54,62,70
71,72,80,91
43,58,64,78
66,75,81,84
60,64,68,76
64,65,77,83
52,72,74,77
65,69,74,87
39,56,56,69
63,67,72,83
55,70,67,78
65,58,51,80
73,77,83,84
48,43,72,75
62,57,75,76
70,73,77,88
50,62,66,66
36,52,67,67
53,67,82,90
48,67,66,87
44,49,60,68
76,83,75,93
44,60,67,82
40,52,61,79
49,55,76,87
72,58,67,87
47,65,56,78
67,63,70,87
61,66,66,73
36,53,55,68
63,61,77,85
77,84,83,96
40,55,66,78
52,50,69,70
92,93,92,98
63,75,81,91
51,60,70,74
56,68,68,78
68,75,86,97
63,69,83,88
42,49,49,81
65,67,77,81
62,73,78,93
56,53,62,75
73,61,70,83
47,60,50,77
62,69,70,82
63,74,81,89
84,77,81,90
44,50,61,77
49,55,60,79
37,56,55,66
60,70,72,82
48,50,73,78
66,70,64,83
56,76,73,91
58,65,66,77
50,69,67,76
76,80,84,93
69,72,80,88
55,52,63,83
44,59,79,91
63,72,79,93
64,75,82,91
56,65,77,88
56,66,76,79
67,73,73,85
74,68,82,91
64,73,67,89
59,76,80,95
42,51,57,74
53,63,66,79
78,81,81,89
57,70,67,85
65,68,71,79
64,78,80,93
66,67,77,82
55,66,71,81
41,58,62,79
76,82,80,88
41,65,71,76
48,65,64,74
49,59,66,77
61,73,67,76
46,45,58,79
62,65,69,86
72,75,82,95
53,60,62,82
44,54,56,79
74,75,76,77
48,58,71,81
51,60,73,82
81,87,81,97
57,72,65,79
68,72,80,91
51,68,71,88
54,65,63,82
24,51,67,78
41,60,68,80
67,68,72,89
74,79,80,89
82,85,92,98
52,71,74,79
77,70,77,91
29,43,53,67
53,53,57,74
77,87,89,90
74,79,89,93
51,76,78,84
84,79,81,93
81,82,81,93
64,80,69,91
59,60,70,82
61,68,61,80
73,73,81,86
37,56,55,75
44,62,70,67
37,59,62,84
50,55,63,78
65,66,67,90
51,71,71,89
59,70,68,84
50,75,60,89
61,73,74,88
62,61,71,84
69,71,74,82
54,58,64,77
64,70,74,92
51,59,75,77
55,72,77,86
63,64,65,78
59,72,66,76
62,71,69,86
54,67,59,82
65,75,72,95
50,61,72,79
77,78,84,91
52,59,60,75
73,86,87,89
63,66,71,81
59,79,62,82
55,56,59,82
72,71,78,86
58,64,65,81
80,84,84,92
54,68,64,79
63,70,76,88
69,69,75,88
51,63,68,86
39,57,66,77
69,74,79,84
56,69,69,86
53,72,68,85
56,67,58,86
48,52,64,72
70,77,81,86
78,75,76,87
52,48,73,83
80,79,88,93
81,73,86,94
58,59,73,82
50,66,58,79
62,54,64,60
74,76,78,89
55,67,72,80
61,75,83,92
61,65,76,80
61,67,73,83
68,77,77,90
75,82,85,94
68,76,77,85
71,71,80,89
48,60,67,78
76,77,82,94
83,79,92,94
45,62,58,79
61,72,65,81
50,68,68,83
73,69,73,88
67,62,63,84
71,60,62,75
49,67,67,80
77,85,86,93
53,68,83,92
84,76,88,90
62,59,65,77
65,76,73,89
49,70,69,89
72,71,85,91
47,47,60,75
66,69,79,92
61,67,61,79
66,70,70,77
61,57,74,87
63,82,80,93
36,56,62,75
88,91,89,95
54,67,57,70
60,56,69,79
65,72,75,87
59,67,63,83
79,81,75,89
71,74,77,84
85,81,86,97
63,74,70,89
70,62,71,86
68,82,79,93
70,78,68,95
79,82,76,94
57,52,63,76
47,65,74,85
59,58,69,75
48,72,60,81
58,67,69,79
81,78,90,97
49,49,61,85
60,58,65,75
55,53,68,75
65,76,73,89
70,73,85,94
55,61,69,81
52,72,69,88
68,70,76,93
82,86,86,98
72,83,85,92
42,63,68,79
59,70,71,83
53,73,74,87
76,81,79,97
83,77,78,92
46,70,64,88
41,49,55,66
76,69,76,89
40,59,63,83
64,70,79,89
56,74,76,93
86,86,88,96
73,76,79,84
51,54,63,76
51,54,63,76
71,56,68,73
58,55,75,80
58,66,64,79
57,72,77,79
74,85,76,93
59,71,65,87
75,86,69,95
54,63,79,83
81,83,92,94
73,75,85,92
67,80,85,95
51,66,73,75
46,44,57,65
75,81,79,93
79,79,75,85
57,60,64,81
56,75,75,81
74,72,78,86
64,69,60,79
69,75,73,89
62,65,67,89
54,75,67,88
63,63,69,83
68,71,74,86
66,80,77,84
40,41,49,58
73,72,75,87
51,52,64,77
70,72,68,78
82,72,88,92
61,51,60,75
64,71,74,89
58,61,68,80
48,65,67,85
48,68,77,88
70,72,79,88
72,79,85,89
57,81,79,94
63,73,70,88
56,67,61,83
72,70,76,90
54,48,63,69
74,73,79,84
77,80,81,73
75,85,81,90
60,69,82,84
67,81,82,86
89,87,89,87
77,75,83,92
66,72,77,81
56,62,70,84
75,78,88,93
54,62,82,89
54,65,60,84
49,71,79,87
54,77,74,83
56,60,66,88
80,74,80,92
35,71,67,85
80,79,75,91
68,74,79,92
53,65,73,78
60,76,76,82
61,63,70,79
80,84,85,87
49,67,67,84
64,65,71,86
76,85,85,95
80,78,85,92
58,70,71,78
82,77,83,96
71,73,82,76
66,71,74,78
81,82,82,90
53,64,66,83
53,61,63,82
69,68,70,83
74,85,83,90
51,65,61,80
47,66,67,78
50,58,76,77
77,79,85,96
68,78,75,91
53,68,73,81
60,72,76,86
65,75,82,91
60,62,71,75
41,79,69,84
79,73,82,84
63,75,80,90
72,71,68,89
62,73,74,85
48,55,71,85
46,52,64,77
82,85,92,92
82,86,80,88
66,50,70,88
62,66,73,83
35,54,51,58
56,61,62,82
40,48,54,74
57,69,70,83
74,67,79,88
68,70,83,86
66,71,80,89
74,79,84,96
77,82,80,91
51,73,70,79
57,57,62,75
48,56,65,80
76,71,79,86
75,80,77,89
53,72,61,75
72,86,84,89
79,75,80,90
78,87,83,88
57,57,72,78
57,73,74,80
79,80,81,92
42,58,64,74
49,64,72,81
51,47,61,76
63,72,72,91
77,84,80,92
48,56,67,82
60,62,61,80
46,50,68,84
71,76,75,88
63,59,78,90
72,70,78,86
42,65,61,79
40,55,48,64
82,86,84,93
71,72,87,91
60,69,70,84
63,72,72,91
58,71,74,81
80,83,69,96
77,74,85,97
62,61,71,83
60,63,65,84
39,56,64,80
63,73,60,78
70,68,72,87
52,71,58,83
66,81,69,88
68,75,85,96
64,71,79,87
50,63,74,77
75,82,89,97
42,59,47,76
56,70,70,83
73,71,80,85
53,73,80,83
60,75,72,84
42,64,73,80
62,84,83,87
61,76,76,93
54,70,77,77
74,81,77,94
65,76,79,88
67,81,79,88
67,81,75,88
74,69,79,90
81,85,88,93
65,68,79,90
74,75,74,92
73,80,82,93
57,67,69,81
57,71,74,89
53,65,76,90
53,63,70,85
48,65,70,82
60,64,71,78
67,84,82,94
52,66,61,66
65,66,68,68
74,70,83,83
54,68,76,73
48,63,68,82
68,70,83,86
85,84,85,91
76,73,77,84
39,40,39,79
71,65,71,86
66,75,85,92
41,58,70,77
63,77,68,86
61,57,59,87
70,85,84,93
63,70,76,85
63,65,65,82
67,66,79,82
74,82,83,82
61,73,66,87
74,75,80,93
63,64,67,82
64,74,74,90
44,47,68,82
57,59,62,82
64,74,74,80
51,56,71,77
84,86,90,93
58,72,76,87
71,67,75,87
76,79,81,90
61,73,69,83
69,77,81,90
50,61,67,80
86,78,89,96
52,58,67,81
78,82,79,92
80,83,83,92
76,80,73,83
59,66,81,87
71,84,81,94
74,81,79,95
77,85,90,91
62,77,88,91
75,78,92,88
48,60,62,77
32,54,51,58
72,72,80,92
61,77,80,93
64,61,80,85
55,66,69,86
51,57,72,81
55,60,67,79
70,76,89,93
46,53,65,75
52,43,56,75
66,64,61,81
67,70,71,79
65,63,68,75
45,59,68,79
69,79,75,94
67,75,80,94
42,64,60,87
82,80,88,95
80,77,82,96
74,79,80,91
57,65,72,79
66,75,65,76
74,84,81,86
79,72,85,93
52,68,70,81
64,71,73,87
56,78,79,91
80,71,83,87
83,79,85,87
56,70,76,84
66,67,70,80
69,68,78,85
71,86,77,93
82,80,88,95
56,70,69,81
73,72,80,84
52,54,59,70
63,68,65,83
71,75,79,90
56,60,70,81
61,63,66,75
56,60,66,82
64,81,65,84
71,74,79,86
68,77,78,85
77,81,90,96
57,68,66,75
54,57,61,77
73,78,88,90
67,80,75,89
71,76,79,93
48,58,73,82
56,62,74,82
75,74,86,82
71,84,79,89
62,63,80,86
56,73,80,88
82,83,82,93
69,73,71,81
56,73,80,88
73,78,85,95
60,74,77,87
42,52,48,64
56,64,41,80
64,66,67,81
51,73,82,85
74,82,83,87
49,67,69,76
45,58,70,84
52,65,72,82
74,63,73,81
71,85,79,86
53,71,79,90
89,90,92,96
81,82,81,90
48,55,66,77
69,87,92,87
76,80,87,94
58,83,86,92
45,57,62,72
74,68,77,86
48,70,67,75
57,52,68,80
64,75,85,90
66,71,76,90
64,75,78,90
70,76,83,85
75,78,85,91
46,64,75,82
66,68,79,87
64,54,64,77
69,71,68,83
78,83,83,91
73,76,76,87
47,53,66,78
53,58,76,77
68,74,80,92
38,50,58,81
69,70,77,92
68,82,78,89
72,68,73,84
45,53,65,80
66,53,61,78
41,63,61,66
54,56,60,66
49,65,63,79
60,57,64,76
62,77,77,77
42,55,60,76
73,72,76,81
52,57,72,75
71,71,82,76
64,82,83,89
50,56,66,81
80,81,88,92
58,61,55,82
83,87,86,95
70,76,81,87
51,61,70,89
69,68,73,81
53,55,72,79
47,73,69,76
75,76,81,87
46,49,58,76
48,67,72,78
45,52,69,76
61,59,73,85
66,83,78,88
82,81,91,92
55,67,65,85
42,47,57,79
67,70,77,85
41,55,60,75
64,61,64,75
55,73,73,88
63,67,77,82
38,57,51,75
62,70,62,78
65,57,71,79
54,71,73,89
75,80,88,84
81,85,90,98
61,64,71,76
62,72,77,83
51,54,54,76
59,58,57,58
73,62,73,80
67,68,82,89
56,63,73,86
60,65,70,81
54,69,61,87
63,75,72,83
49,69,62,78
70,76,76,88
65,65,72,87
52,67,65,80
68,61,63,83
71,72,76,88
52,64,80,91
54,55,61,79
51,60,73,73
52,54,74,86
71,81,86,89
58,50,63,85
43,49,62,79
57,74,70,86
59,65,63,85
58,58,73,81
46,61,70,79
66,75,77,91
51,70,73,81
69,82,83,97
65,70,75,80
62,71,74,82
77,74,77,91
70,71,73,87
52,62,70,77
70,75,76,89
78,87,92,97
61,66,73,79
48,60,68,76
75,77,80,96
63,73,82,91
80,81,95,83
67,69,76,76
78,72,80,92
65,79,88,91
51,77,81,95
63,73,76,94
75,76,85,84
61,74,74,89
74,76,77,85
69,73,76,85
58,60,70,75
55,73,71,82
47,71,57,75
66,74,76,91
54,68,69,83
73,73,73,82
54,71,77,85
60,68,71,86
43,48,64,81
65,78,84,95
49,55,65,75
65,67,70,87
71,82,79,89
55,73,73,80
56,50,74,69
67,67,70,78
63,81,75,86
73,84,80,94
61,70,76,93
72,76,83,85
46,54,60,79
53,56,72,83
37,61,51,75
83,77,80,97
64,74,75,81
45,57,61,81
47,49,64,78
63,71,76,88
64,72,80,88
76,79,86,94
61,69,80,81
73,77,82,91
68,69,69,81
80,83,85,92
66,70,70,75
50,61,61,79
54,51,66,79
64,63,68,88
58,54,67,76
64,75,80,89
58,67,69,78
38,58,72,78
75,79,73,97
59,56,61,75
60,68,72,91
47,62,59,76
43,54,64,77
66,68,65,81
56,73,71,83
67,85,82,92
54,70,74,88
75,71,76,88
70,80,82,90
45,62,72,89
67,70,61,76
82,78,89,90
58,60,68,82
49,57,61,82
58,53,75,86
67,68,84,78
50,67,81,86
58,75,75,81
59,59,63,68
57,76,86,87
49,69,82,81
53,72,74,82
58,64,68,87
54,70,71,78
71,75,79,90
55,69,70,87
59,69,68,80
74,82,81,92
76,77,79,89
61,79,83,81
73,74,76,85
73,79,76,87
63,70,77,84
71,73,74,88
71,81,77,92
50,58,60,80
63,63,80,85
77,67,70,85
70,85,86,93
78,74,74,88
71,73,86,90
50,73,72,87
72,78,89,89
51,53,65,77
50,66,73,75
56,76,69,88
48,59,74,80
71,68,81,85
64,59,66,85
62,58,70,77
76,84,91,98
45,62,62,87
79,82,85,94
69,77,79,86
63,66,71,87
48,57,65,83
51,67,50,77
49,56,58,80
76,75,80,90
70,67,82,94
54,64,65,81
78,80,82,95
54,62,76,85
66,79,85,92
82,83,88,91
69,80,85,93
65,70,77,92
70,81,75,91
53,66,78,82
59,65,71,86
70,70,76,83
52,72,70,75
33,52,50,71
67,66,85,76
70,75,79,91
41,60,60,80
67,70,80,83
74,81,80,91
66,69,80,94
63,77,76,86
77,67,82,93
55,79,79,81
49,63,76,71
76,78,77,85
66,71,79,83
57,40,67,77
77,81,77,87
60,79,75,90
47,62,67,76
73,73,77,92
47,63,76,84
51,60,64,78
59,73,71,81
50,67,63,83
71,68,74,87
52,63,65,82
70,78,78,92
75,82,83,94
44,64,62,72
58,62,70,88
72,76,79,95
60,71,75,89
76,76,71,83
69,75,79,90
50,63,67,85
67,65,67,77
76,75,83,93
62,66,74,81
80,80,85,98
63,70,74,80
